;1;0;2
0;Thai Express Air;EXPRESS AIR;Thailand
1;Thai Smile Airways;THAI SMILE;Thailand
2;Thai Vietjet Air;THAIVIET JET;Thailand
3;Taxair Mexiqienses;TAXAIR;Mexico
4;Thai Airasia X;EXPRESS WING;Thailand
5;Thai Lion Mentari;MENTARI;Thailand
6;Transporte Aereo De Colombia;AERO COLOMBIA;Colombia
7;Trend Aviation;TREND AIR;United States
8;Turkish Aerospace Industries;TUSAS;Turkey
9;Trend Aviation;TREND AIR;United States
10;Transmandu;TRANSMANDU;Venezuela
11;Turkish Airlines General Aviation;TURKISH REPUBLIC;Turkey
12;Tarkim Aviation;TARKIM AVIATION;Turkey
13;Transafricaine Air Cargo;AFRICARGO;Burkina Faso
14;Travel Management Company;TRAIL BLAZER;United States
15;Trifly;SAWBLADE;United States
16;Trans Jet Airways;TRANSJET;Sweden
17;Turbot Air Cargo;TURBOT;Senegal
18;Transporte Aéreo Dominicano;TRANS DOMINICAN;Dominican Republic
19;TAME;TAME;Ecuador
20;Trans International Express Aviation;BIG APPLE;United States
21;TAG Aviation USA;TAG U-S;United States
22;Talair;TALAIR;Papua New Guinea
23;LATAM Brasil;TAM;Brazil
24;Transaustralian Air Express;AUSCARGO;Australia
25;TAP Portugal;AIR PORTUGAL;Portugal
26;Tunisair;TUNAIR;Tunisia
27;Transportes Aéreos Tauro;TRANSTAURO;Mexico
28;Travel Air;TRAVELAIR;Germany
29;TNT Airways;QUALITY;Belgium
30;Transbrasil;TRANSBRASIL;Brazil
31;Turbine Air Cargo UK;;United Kingdom
32;Thunderbird Tours;ORCA;Canada
33;Tropical Airways;;Haiti
34;Trinity Air Bahamas;;Bahamas
35;TAB Express International;TAB INTERNATIONAL;United States
36;Taban Air Lines;TABAN AIR;Iran
37;Teebah Airlines;TEEBAH;Sierra Leone
38;Tubelair;TUBELAIR;Tunisia
39;Tobago Express;TABEX;Trinidad and Tobago
40;Tropican Air Services;TROPICANA;Egypt
41;Transporte del Caribe;TRANSCARIBE;Colombia
42;Trans Continental Airlines;TRANSCAL;Sudan
43;Tchad Airlines;TCHADLINES;Chad
44;Trans-Colorado Airlines;TRANS-COLORADO;United States
45;Thai Air Cargo;THAI CARGO;Thailand
46;Transcontinental Air;TRANS GULF;Bahrain
47;Teledyne Continental Motors;TELEDYNE;United States
48;Trans Continental Airlines;TRANSCON;United States
49;Transcorp Airways;TRANSCORP;United Kingdom
50;Transcontinental Sur;TRANS-CONT;Uruguay
51;Transglobal Airways Corporation;TRANSGLOBAL;Philippines
52;Thomas Cook Airlines;THOMAS COOK;Belgium
53;Thomas Cook Airlines;KESTREL;United Kingdom
54;Twin Cities Air Service;TWIN CITY;United States
55;Tadair;TADAIR;Spa
56;Tellavia / Flight One;TELLURIDE;United States
57;Transportes Aéreos de Ixtlán;TRANSIXTLAN;Mexico
58;Tandem Aero;TANDEM;Moldova
59;TRADO;TRADO;Dominican Republic
60;Trade Air;TRADEAIR;Croatia
61;Taxi Aero Nacional Del Evora;TAXI EVORA;Mexico
62;Tradewinds Airlines;TRADEWINDS EXPRESS;United States
63;Tenir Airlines;TENIR AIR;Kyrgyzstan
64;Teamline Air;Teamline;Austria
65;Tecnicas Fotograficas;TECFOTO;Spain
66;Tempelhof Airways;TEMPELHOF;United States
67;Telford Aviation;TELFORD;United States
68;Tech-Mont Helicopter Company;TECHMONT;Slovakia
69;Tennessee Airways;TENNESSEE;United States
70;Territorial Airlines;TERRI-AIRE;United States
71;TAES Transportes Aéreos de El Salvador;TAES;El Salvador
72;Transeuropean Airlines;TRANSEURLINE;Russia
73;Tepavia-Trans Airlines;TEPAVIA;Moldova
74;Trans-Florida Airlines;TRANS FLORIDA;United States
75;Tair Airways;ROYAL TEE-AIR;Philippines
76;Talon Air;TALON FLIGHT;United States
77;Trabajos Aéreos Murcianos;PIJO;Spain
78;Thai Flying Helicopter Service;THAI HELICOPTER;Thailand
79;Transport Facilitators;;United States
80;Transafrik International;;São Tomé and Príncipe
81;Transportes Aéreos del Pacífico;TRANSPORTES PACIFICO;Mexico
82;Thai Flying Service;THAI FLYING;Thailand
83;Transportes Aéreos San Rafael;SAN RAFEAL;Chile
84;Tayside Aviation;TAYSIDE;United Kingdom
85;TG Aviation;THANET;United Kingdom
86;Trabajos Aéreos;TASA;Spain
87;Transportes Aéreos Regionales;TRANSPORTE REGIONAL;Mexico
88;TAG Aviation Espana;TAG ESPANA;Spain
89;Trigana Air Service;TRIGANA;Indonesia
90;Satgur Air Transport;SATGURAIR;Liberia
91;Titan Airways;ZAP;United Kingdom
92;Transport Canada;TRANSPORT;Canada
93;Tigerair Singapore;GO CAT;Singapore
94;Tigerair Australia;GO CAT;Australia
95;Tigerair Taiwan;SMART CAT;Taiwan
96;Tigerair Mandala;MANDALA;Indonesia
97;Tigerair Philippines;SEATIGER;Philippines
98;Transair Gabon;TRANSGABON;Gabon
99;Trans Guyana Airways;TRANS GUYANA;Guyana
100;Thai Airways International;THAI;Thailand
101;Tar Heel Aviation;TARHEEL;United States
102;Toumai Air Tchad;TOUMAI AIR;Chad
103;Touraine Helicoptere;TOURAINE HELICO;France
104;Thai Global Airline;THAI GLOBAL;Thailand
105;Thai Jet Intergroup;THAI JET;Thailand
106;Turk Hava Kurumu Hava Taksi Isletmesi;HUR KUS;Turkey
107;Thai AirAsia;THAI ASIA;Thailand
108;TACA De Honduras;LEMPIRA;Honduras
109;Tehran Airline;TEHRAN AIR;Iran
110;Thunder Airlines;AIR THUNDER;Canada
111;Turkish Airlines;TURKISH;Turkey
112;Trans Helicoptere Service;LYON HELIJET;France
113;Trans International Airlines;TRANS INTERNATIONAL;United States
114;Travel International Air Charters;TRAVEL INTERNATIONAL;Zambia
115;Time Air;TIME AIR;Czech Republic
116;Tic Air;TICAIR;Australia
117;TEAM Linhas Aéreas;TEAM BRASIL;Brazil
118;Taino Tours;TAINO;Dominican Republic
119;Tesis;TESIS;Russia
120;Transcarga Intl Airways;TIACA;Venezuela
121;Tajikair;TAJIKAIR;Tajikistan
122;Tien-Shan;NERON;Kazakhstan
123;Tyrolean Jet Services;TYROLJET;Austria
124;Twin Jet;TWINJET;France
125;Tikal Jets Airlines;TIKAL;Guatemala
126;Take Air Line;ISLAND BIRD;France
127;Tropical International Airways;TROPEXPRESS;Saint Kitts and Nevis
128;Thai Sky Airlines;THAI SKY;Thailand
129;Translift Airways;TRANSLIFT;Ireland
130;Transport Africa;TRANS-LEONE;Sierra Leone
131;Trans Atlantic Airlines;ATLANTIC LEONE;Sierra Leone
132;Eagle Canyon Airlines;TALON AIR;United States
133;Tulip Air;TULIPAIR;Netherlands
134;Tunisavia;TUNISAVIA;Tunisia
135;TLC Air;TEALSY;United States
136;Turtle Airways;TURTLE;Fiji
137;Travelair;PAJAROS;Uruguay
138;Telesis Transair;TELESIS;United States
139;Top-Fly;TOPFLY;Spain
140;Trans Mediterranean Airlines;TANGO LIMA;Lebanon
141;Transmed Airlines;;Egypt
142;Tri-MG Intra Asia Airlines;TRILINES;Indonesia
143;Taxis Turisticos Marakame;TAXIMARAKAME;Mexico
144;Tamir Airways;TAMIRWAYS;Israel
145;Tomahawk Airways;TOMAHAWK;United States
146;Transports et Travaux Aériens de Madagascar;TAM AIRLINE;Madagascar
147;TMC Airlines;WILLOW RUN;United States
148;TRAM;TRAM AIR;Mauritania
149;Timberline Air;TIMBER;Canada
150;Temsco Helicopters;TEMSCO;United States
151;Trans Midwest Airlines;TRANS MIDWEST;United States
152;Tramon Air;TRAMON;South Africa
153;Transportes Aéreos del Mundo Maya;MUNDO MAYA;Mexico
154;Transporte Amazonair;TRANS AMAZON;Venezuela
155;Trans Air-Benin;TRANS-BENIN;Benin
156;Taxis Aéreos del Noroeste;TAXINOROESTE;Mexico
157;Transafricaine;TRANSFAS;Burkina Faso
158;Tennessee Air National Guard 164th Airlift Group;;United States
159;Transair International Linhas Aéreas;TRANSINTER;United States
160;Tengeriyn Ulaach Shine;SKY HORSE;Mongolia
161;Tiara Air;TIARA;Aruba
162;Transped Aviation;TRANSPED;Austria
163;Tanana Air Services;TAN AIR;United States
164;Trans North Turbo Air;TRANS NORTH;Canada
165;Transnorthern;TRANSNORTHERN;United States
166;Trans Nation Airways;TRANS-NATION;Ethiopia
167;Trener Ltd;TRAINER;Hungary
168;Twin Town Leasing Company;TWINCAL;United States
169;Tobruk Air;TOBRUK AIR;Libya
170;TOJ Airlines;TOJ AIRLINE;Tajikistan
171;Tol-Air Services;TOL AIR;United States
172;Thomson Airways;TOMSON;United Kingdom
173;Top Air;AIR TOP;Indonesia
174;Toronto Airways;TORONTAIR;Canada
175;Tropic Air;TROPISER;Belize
176;Totavia;;Canada
177;Tower Air;TEE AIR;United States
178;Toyota Canada;TOYOTA;Canada
179;TAMPA;TAMPA;Colombia
180;Top Speed;TOP SPEED;Austria
181;Taxis Aéreos del Pacífico;TAXIPACIFICO;Mexico
182;Transportes Aéreos Pegaso;TRANSPEGASO;Mexico
183;TAR Interpilot;INTERPILOT;Mauritania
184;Transpaís Aéreo;TRANSPAIS;Mexico
185;Transportación Aérea del Norte;AEREA DELNORTE;Mexico
186;Transpac Express;TRANS EXPRESS;Australia
187;Taxis Aéreos De Parral;TAXIS PARRAL;Mexico
188;TAPSA Transportes Aéreos Petroleros;TAPSA;Argentina
189;Transportes Aéreo del Sureste;TASSA;Mexico
190;Trans American Airlines (Trans Am);TRANS PERU;Peru
191;Thai Pacific Airlines Business;THAI PACIFIC;Thailand
192;Transportes Aéreos De Xalapa;TRANSXALAPA;Mexico
193;Trans-Provincial Airlines;TRANS PROVINCIAL;Canada
194;Transportes La Paz;TRANSPAZ;Mexico
195;Taquan Air Services;TAQUAN;United States
196;Transportación Aérea De Querétaro;TRANSQUERETARO;Mexico
197;TransAsia Airways;;Taiwan
198;Transavia France;FRANCE SOLEIL;France
199;Transavia Holland;TRANSAVIA;Netherlands
200;Trans Air Charter;TRACKER;United States
201;TACV;CABOVERDE;Cape Verde
202;Trans Island Air;TRANS ISLAND;Barbados
203;Taxi Air Fret;TAXI JET;France
204;TRAGSA (Medios Aéreos);;Spain
205;Trans Euro Air;HIGH TIDE;United Kingdom
206;Transport Aerien de Mauritanie;SOTRANS;Mauritania
207;Tropic Airlines-Air Molokai;MOLOKAI;United States
208;Turdus Airways;HUNTER;Netherlands
209;Tramson Limited;TRAMSON;Sudan
210;Trans Arabian Air Transport;TRANS ARABIAN;Sudan
211;Triangle Airline (Uganda);TRI AIR;Uganda
212;Transwestern Airlines of Utah;TRANS-WEST;United States
213;Tristar Airlines;TRISTAR AIR;United States
214;TransMeridian Airlines;TRANS-MERIDIAN;United States
215;Transair France;AIRTRAF;France
216;TAF-Linhas Aéreas;TAFI;Brazil
217;Transmile Air Services;TRANSMILE;Malaysia
218;Trans-Air-Congo;TRANS-CONGO;Republic of the Congo
219;Transport'air;TRANSPORTAIR;France
220;Trast Aero;TRAST AERO;Kyrgyzstan
221;Trast Aero;TOMSK-AVIA;Kyrgyzstan
222;Thai Aviation Services;THAI AVIATION;Thailand
223;Taftan Airlines;TAFTAN;Iran
224;Transwest Air;ATHABASKA;Canada
225;Trans Sayegh Airport Services;;Lebanon
226;Trans-Air Services;AIR TRANS;Nigeria
227;Transaero Airlines;TRANSOVIET;Russia
228;Transportes Aéreos Inter;TRANSPO-INTER;Guatemala
229;Trans Service Airlift;TRANS SERVICE;Democratic Republic of Congo
230;Tri-State Aero;TRI-STATE;United States
231;TRAST;TRAST;Kazakhstan
232;Tropair Airservices;TROPIC;United Kingdom
233;Transwings;SWISSTRANS;Switzerland
234;Thai Star Airlines;THAI STAR;Thailand
235;Tristar Air;TRIPLE STAR;Egypt
236;TTA - Sociedade de Transporte e Trabalho Aéreo;KANIMANBO;Mozambique
237;Transteco;TRANSTECO;Angola
238;Tarhan Tower Airlines;;Turkey
239;Total Linhas Aéreas;TOTAL;Brazil
240;Triple O Aviation;MIGHTY WING;Nigeria
241;Transportaciones Y Servicios Aéreos;TRANSPORTACIONES;Mexico
242;Transporte Aéreo Técnico Ejecutivo;TECNICO;Mexico
243;Turkmenhovayollary;TURKMENISTAN;Turkmenistan
244;Turismo Aéreo de Chile;TURICHILE;Chile
245;Tuninter;;Tunisia
246;Tulpar Air;URSAL;Russia
247;Tyumenspecavia;TUMTEL;Russia
248;Taxi Aéreo Turístico;TURISTICO;Mexico
249;Tulpar Air Service;TULPA;Kazakhstan
250;Tuna Aero;TUNA;Sweden
251;Trans America Airlines;TRANS-AMERICA;United States
252;Trabajos Aéreos Vascongados;TRAVASA;Spain
253;Tiramavia;TIRAMAVIA;Moldova
254;Travel Service;TRAVEL SERVICE;Hungary
255;Transavio;TRANS-BALLERIO;Italy
256;Tavrey Airlines;TAVREY;Ukraine
257;Travel Service;SKYTRAVEL;Czech Republic
258;T'way Air;TWAYAIR;Republic of Korea
259;Transwede Airways;TRANSWEDE;Sweden
260;Twinjet Aircraft Sales;;United Kingdom
261;Tradewinds Aviation;TRADEWINDS CANADA;Canada
262;Transairways;;Mozambique
263;Twente Airlines;COLIBRI;Netherlands
264;Trans Air Welwitchia;WELWITCHIA;Angola
265;Texair Charter;OKAY AIR;United States
266;TransAVIAexport Airlines;TRANSEXPORT;Belarus
267;Transilvania Express;TRANSAIR EXPRESS;Romania
268;Taxi Aéreo Cozatl;TAXI COZATL;Mexico
269;Taxi Aéreo de México;TAXIMEX;Mexico
270;Texas National Airlines;TEXAS NATIONAL;United States
271;Taxis Aéreos de Sinaloa;TAXIS SINALOA;Mexico
272;Taxirey;TAXIREY;Mexico
273;Texas Airlines;TEXAIR;United States
274;Texas Air Charters;TEXAS CHARTER;United States
275;Tex Star Air Freight;TEX STAR;United States
276;Tayflite;TAYFLITE;United Kingdom
277;Trygg-Flyg;TRYGG;Sweden
278;Tyrol Air Ambulance;TYROL AMBULANCE;Austria
279;Transporte Aéreo Ernesto Saenz;TRANSPORTE SAENZ;Mexico
280;Tajikistan International Airlines;TAJIKSTAN;Tajikistan
281;Thyssen Krupp AG;BLUELINE;Germany
282;TUIfly Nordic;BLUESCAN;Sweden
283;Transportes Aéreos Bolivianos;BOL;Bolivia
284;Tiphook PLC;BOX;United Kingdom
285;Top Flight Air Service;CHECK AIR;United States
286;Trans America;CLINTON AIRWAYS;United States
287;Triple Alpha;CAROLUS;Germany
288;Tashkent Aircraft Production Corporation;CORTAS;Uzbekistan
289;Texas Airways;TEXAS AIRWAYS;United States
290;Transportes Aéreos Don Carlos;DON CARLOS;Chile
291;Telnic Limited;DOT TEL;United Kingdom
292;Triton Airlines;TRITON AIR;Canada
293;TAAG Angola Airlines;DTA;Angola
294;Tassili Airlines;TASSILI AIR;Algeria
295;Transporte Ejecutivo Aéreo;EJECUTIVO-AEREO;Mexico
296;Transportes Aéreos Nacionales De Selva Tans;AEREOS SELVA;Peru
297;TAG Farnborough Airport;;United Kingdom
298;Transaviaservice;TRANSAVIASERVICE;Georgia
299;TAG Aviation;TAG AVIATION;Switzerland
300;The 955 Preservation Group;GRIFFON;United Kingdom
301;Trans-Air-Link;SKY TRUCK;United States
302;Tradewind Aviation;GOODSPEED;United States
303;Trail Lake Flying Service;HARBOR AIR;United States
304;TAF Helicopters;HELITAF;Spain
305;Tango Bravo;HELI TANGO;France
306;Turkish Air Force;TURKISH AIRFORCE;Turkey
307;Thryluthjonustan;;Iceland
308;Tibet Airlines;TIBET;China
309;TA-Air Airline;TA-AIR;Iran
310;Tara Air Line;TARAIR;Iran
311;Trading Air Cargo;TRADING CARGO;Mauritania
312;Trans-Kiev;TRANS-KIEV;Ukraine
313;Tal Air Charters;JETEL;Canada
314;Transcontinental Airlines;REGATA;Kazakhstan
315;Transaviabaltika;TRANSBALTIKA;Lithuania
316;Transair-Gyraintiee;KOTAIR;Russia
317;TAM Mercosur;PARAGUAYA;Paraguay
318;The Lancair Company;LANCAIR;United States
319;The Army Aviation Heritage Foundation;LEGACY;United States
320;Top Sky International;TOPINTER;Indonesia
321;Trans States Airlines;WATERSKI;United States
322;Trans Atlantis;LANTRA;Canada
323;Transportación Aérea Del Mar De Cortés;TRANS CORTES;Mexico
324;Transporte Aero MGM;AERO EMM-GEE-EMM;Mexico
325;Tigerfly;MOTH;United Kingdom
326;Transportes Aéreos Amparo;AMPARO;Mexico
327;Trans Air;MAUI;United States
328;Transportes Aéreos Mexiquenses;MEXIQUENSES;Mexico
329;Travelsky Technology;;China
330;Thalys;;Belgium
331;TNT International Aviation;NITRO;United Kingdom
332;Open Skies Consultative Commission;OPEN SKIES;United States
333;Trans-Pacific Orient Airways;PACIFIC ORIENT;Philippines
334;Tauranga Aer Club;;New Zealand
335;TSSKB-Progress;PROGRESS;Russia
336;Trans World Express;RED BIRD;United States
337;Trans Reco;TRANS-RECO;Mauritania
338;Tas Aviation;TASS AIR;United States
339;Tarom;TAROM;Romania
340;Transportes Aéreos I. R. Crusoe;ROBINSON CRUSOE;Chile
341;Transportes Aéreos Sierra;SIERRA ALTA;Mexico
342;Tbilisi Aviation University;AIRFERRY;Georgia
343;Trans Am Compania;AERO TRANSAM;Ecuador
344;Trans Sahara Air;TRANS SAHARA;Nigeria
345;Transportes Aéreos Sierra Madre;TRANSPORTE SIERRA;Mexico
346;Trans Asian Airlines;TRASER;Kazakhstan
347;Turan Air;TURAN;Azerbaijan
348;TRIP Linhas Aéreas;TRIP;Brazil
349;Tusheti;TUSHETI;Georgia
350;TAPC Aviatrans Aircompany;AVIATAPS;Uzbekistan
351;Trans-Ulgii;TRANS-ULGII;Mongolia
352;Transarabian Transportation Services;ARABIAN TRANSPORT;Uganda
353;Transaven;TRANSAVEN AIRLINE;Venezuela
354;Tag Aviation UK;SOVEREIGN;United Kingdom
355;Tbilaviamsheni;TBILAVIA;Georgia
356;Taxi de Veracruz;VERACRUZ;Mexico
357;Travel Express Aviation Services;TRAVEL EXPRESS;Indonesia
358;Taxi Aero Del Norte;TAXI NORTE;Mexico
359;Tyrolean Airways;TYROLEAN;Austria
360;Transportes Aéreos Nacionales;;Honduras
