name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
Cummins,"Engineering, Manufacturing",$35.22 B,"58,000",USA,,,,Tom Linebarger,1919,,$249.75,,CMI,,$24B
Halliburton,Oil & Gas Operations,$35.29 B,"40,000",USA,,,,Jeff Miller,1919,,$38.87,,HAL,,$16.1B
Jardine Matheson,Conglomerates,$35.24 B,"400,000",Hong Kong,,,,John Raymond Witt,1832,,$48.88,,J36.SI,,$35.9B
Dow,"Construction, Oil & Gas Operations, Mining and Chemicals",$36.27 B,"35,700",USA,,,,Jim Fitterling,1897,,$51.55,,DOW,,$58.4B
Yum! Brands,"Hotels, Restaurants & Leisure",$36.52 B,"36,000",USA,,,,David W. Gibbs,1997,,$129.68,,YUM,,$6.6B
Electronic Arts,Consumer Durables,$36.51 B,"11,000",USA,,,,Andrew P. Wilson,1982,,$132.28,,EA,,$6.6B
Las Vegas Sands,"Hotels, Restaurants & Leisure",$36.64 B,"44,700",USA,,,,Robert Glen Goldstein,1988,,$47.96,,LVS,,$4.2B
Paccar,Automotive (Automotive and Suppliers),$36.79 B,28.500,USA,,,,Preston Feight,1972,,$105.79,,PCAR,,$27.37 B
Vodafone,"Telecommunications Services, Cable Supplier",$31.35 B,"104,000",UK,,,,Nicholas Jonathan Read,1984,,$11.25,,VOD,,$53.6B
Copart,Business Services & Supplies,$31.98 B,"8,600",USA,,,,Aaron Jayson Adair,1982,,$67.15,,CPRT,,$3.2B
Digital Realty,,$32.56 B,3.03,USA,,,,,,,$110.85,,DLR,,$4.56 B
Interactive Brokers,,$32.80 B,2.571,USA,,,,,,,$78.71,,IBKR,,$3.43 B
Ametek,Conglomerates,$33.15 B,"18,500",USA,,,,David A. Zapico,1930,,$144.39,,AME,,$5.5B
Albemarle,Chemicals,$33.30 B,"6,000",USA,,,,Jerry Kent Masters,1993,,$284.28,,ALB,,$3.3B
Otis Worldwide,"Engineering, Manufacturing",$33.22 B,"70,000",USA,,,,Judith F. Marks,1853,,$79.75,,OTIS,,$14.3B
Dollar Tree,Retailing,$33.44 B,"210,565",USA,,,,Michael A. Witynski,1986,,$151.20,,DLTR,,$26.3B
Old Dominion Freight Line,Transportation,$33.45 B,"23,663",USA,,,,Greg C. Gantt,1934,,$302.85,,ODFL,,$5.3B
Haleon,,$33.44 B,22.0,UK,,,,,,,$7.15,,HLN,,$8.55 B
Welltower,Diversified Financials,$33.58 B,464,USA,,,,Shankh Mitra,1970,,$71.08,,WELL,,$4.7B
Kroger,Food Markets,$34.05 B,"420,000",USA,,,,W. Rodney McMullen,1883,,$47.57,,KR,,$137.9B
Illumina,Drugs & Biotechnology,$34.41 B,"7,800",USA,,,,Francis A. deSouza,1998,,$218.76,,ILMN,,$4.5B
Fastenal,Trading Companies,$29.45 B,19.519,USA,,,,Daniel L. Florness,1967,,$51.43,,FAST,,$6.81 B
Oneok,Oil & Gas Operations,$30.03 B,"2,847",USA,,,,Pierce H. Norton II,1906,,$67.20,,OKE,,$17.3B
Constellation Energy,Utilities,$30.09 B,"11,696",USA,,,,Joseph Dominguez,Not found,,$92.04,,CEG,,$19.6B
Rockwell Automation,Capital Goods,$30.48 B,"24,500",USA,,,,Blake Moret,1903,,$265.49,,ROK,,$7.3B
Barclays,Banking and Financial Services,$30.99 B,"83,500",UK,,,,C. S. Venkatakrishnan,1896,,$7.82,,BCS,,$30.2B
Verisk Analytics,Insurance,$29.00 B,9.367,USA,,,,Scott G. Stephenson,1971,,$185.44,,VRSK,,$3.03 B
Eversource Energy,Utilities—Regulated Electric,$29.15 B,9.227,USA,"Springfield, MA, United States",,Utilities,James J. Judge,1996,,$83.71,,ES,,$11.73 B
Genuine Parts Company,Specialty Retail,$26.43 B,"52,000",USA,"Atlanta, GA, United States",,Consumer Discretionary,Mr. Paul D. Donahue,1925,,$187.28,,GPC,,
Ashtead,,$27.13 B,22.807,UK,,,,,,,$61.60,,0LC.F,,$8.87 B
Veeva Systems,IT Software & Services,$27.15 B,"5,482",USA,,,,Peter P. Gassner,2007,,$174.90,,VEEV,,$1.9B
International Flavors & Fragrances,Household & Personal Products,$27.52 B,"24,000",USA,,,,Franklin K. Clyburn,1833,,$107.97,,IFF,,$11.7B
Rivian,Automotive,$27.70 B,"10,422",USA,,,,Robert Joseph Scaringe,2009,,$31.36,,RIVN,,$55M
Gartner,Business Services & Supplies,$27.81 B,"16,600",USA,,,,Eugene A. Hall,1979,,$351.99,,IT,,$4.7B
Warner Bros. Discovery,Media,$27.80 B,"11,000",USA,,,,David M. Zaslav,2022,,$11.55,,WBD,,$12.2B
Global Payments,Business Services & Supplies,$27.87 B,"25,000",USA,,,,Jeffrey Steven Sloan,2000,,$103.08,,GPN,,$8.5B
American Water Works,Utilities,$27.95 B,"6,400",USA,,,,M. Susan Hardwick,1886,,$153.74,,AWK,,$3.9B
State Street Corporation,Asset Management,$28.51 B,"38,784",USA,"Boston, MA, United States",,Financials,Mr. Ronald Philip O'Hanley,1792,,$77.72,,STT,,US$12.03 billion (2021)
Corning,"Engineering, Manufacturing",$28.75 B,"61,000",USA,,,,Wendell P. Weeks,1851,,$34.00,,GLW,,$14.1B
Discover Financial Services,Credit Services,$28.79 B,"16,700",USA,"Riverwoods, IL, United States",,Financials,Roger C. Hochschild,1985,,$105.40,,DFS,,$12.8B
Edison International,Utilities—Regulated Electric,$24.96 B,"13,003",USA,"Rosemead, CA, United States",,Utilities,Pedro J. Pizarro,1886,,$65.37,,EIX,,$14.9B
Tractor Supply,Retailing,$24.84 B,50.000,USA,,,,Harry A. Lawton III,1938,,$224.94,,TSCO,,$13.51 B
Lennar,Construction,$25.14 B,"10,753",USA,,,,Rick Beckwitt Jon Jaffe,1954,,$88.30,,LEN,,$28.4B
Equity Residential,REIT—Residential,$25.12 B,"2,400",USA,"Chicago, IL, United States",,Real Estate,Mark J. Parrell,1993,,$64.11,,EQR,,$2.4B
Alexandria Real Estate Equities,Diversified Financials,$25.15 B,559,USA,,,,"Peter M. Moglia, Stephen A. Richardson",1994,,$153.32,,ARE,,$2.1B
Diamondback Energy,Oil & Gas Operations,$25.60 B,870.0,USA,,,,Travis D. Stice,2007,,$145.46,,FANG,,$9.63 B
Zimmer Biomet,Health Care Equipment & Services,$25.80 B,"19,500",USA,,,,Bryan C. Hanson,1927,,$122.97,,ZBH,,$7.8B
Hormel Foods,"Food, Drink & Tobacco",$26.02 B,"20,000",USA,,,,Jim Snee,1891,,$47.64,,HRL,,$12B
Entergy,Utilities,$24.45 B,"12,500",USA,,,,Leo Denault,1913,,$115.91,,ETR,,$11.7B
Vulcan Materials,Construction,$24.52 B,"11,437",USA,,,,J. Thomas Hill,1909,,$184.49,,VMC,,$5.6B
Equifax,Business Services & Supplies,$24.65 B,"12,700",USA,,,,Mark Begor,1899,,$201.38,,EFX,,$5.1B
United Rentals,Business Services & Supplies,$24.71 B,20.400,USA,,,,Matthew John Flannery,1997,,$356.57,,URI,,$11.12 B
Extra Space Storage,Diversified Financials,$22.34 B,"4,309",USA,,,,Joseph D. Margolis,2004,,$159.00,,EXR,,$1.6B
Ansys,IT Software & Services,$22.36 B,5.300,USA,,,,Ajei S. Gopal,1970,,$256.74,,ANSS,,$2.02 B
Ares Management,Diversified Financials,$22.43 B,"2,100",USA,,,,Michael J. Arougheti,1997,,$75.97,,ARES,,$4.3B
Seagen,Drugs & Biotechnology,$22.72 B,2.675,USA,,,,Clay B. Siegall,1997,,$122.41,,SGEN,,$1.86 B
Ameren,Utilities,$22.76 B,"9,116",USA,,,,Martin J. Lyons JR.,1902,,$88.04,,AEE,,$6.4B
Delta Air Lines,Transportation and Logistics,$22.89 B,"81,000",USA,,,,Ed Bastian,1924,,$35.71,,DAL,,$35.1B
First Republic Bank,Banks,$23.07 B,"6,295",USA,"San Francisco, CA, United States",,Financials,Michael J. Roffler,1985,,$126.17,,FRC,,$5.5B
Southwest Airlines,Transportation and Logistics,$23.60 B,"55,000",USA,,,,Robert E. Jordan,1967,,$39.75,,LUV,,$15.8B
Datadog,IT Software & Services,$23.72 B,"3,200",USA,,,,Olivier Pomel,2010,,$74.71,,DDOG,,$1B
Tyson Foods,"Food, Drink & Tobacco",$23.74 B,137.000,USA,,,,Donnie King,1935,,$66.02,,TSN,,$53.28 B
Weyerhaeuser,Diversified Financials,$23.85 B,"9,214",USA,,,,Devin W. Stockfish,1900,,$32.42,,WY,,$10.2B
Fortive,Technology Hardware & Equipment,$24.14 B,"18,000",USA,,,,James A. Lico,2015,,$68.24,,FTV,,$5.3B
Imperial Brands,"Food, Drink & Tobacco",$24.16 B,"30,300",UK,,,,Stefan Bomhard,1901,,$25.48,,ITBA.F,,$22.7B
Ferguson,Trading Companies,$24.24 B,"34,352",UK,,,,Kevin M. Murphy,1887,,$116.64,,FERG,,$22.7B
Fifth Third Bank,Banking,$24.19 B,"19,112",USA,,,,Greg D. Carmichael,1858,,$35.25,,FITB,,$8.3B
Hewlett Packard Enterprise,"IT, Internet, Software & Services",$21.47 B,"60,400",USA,,,,Antonio Neri,2015,,$16.69,,HPE,,$27.9B
Regions Financial,Banking and Financial Services,$21.64 B,"19,626",USA,,,,"John M. Turner, Jr.",1971,,$23.16,,RF,,$6.6B
Quanta Services,Construction,$21.87 B,"43,700",USA,,,,Earl C. Austin Jr.,1997,,$153.07,,PWR,,$13B
Ingersoll Rand,Capital Goods,$22.08 B,"16,000",Ireland,,,,Vicente Reynal,1872,,$54.55,,IR,,$5.4B
Cardinal Health,Retail and Wholesale,$21.20 B,"48,000",USA,,,,Mike Kaufmann,1971,,$80.88,,CAH,,$171.3B
Invitation Homes,Diversified Financials,$19.86 B,"1,240",USA,,,,Dallas B. Tanner,2012,,$32.36,,INVH,,$1.8B
Dover,Conglomerates,$20.13 B,"25,000",USA,,,,Richard Joseph Tobin,1955,,$143.49,,DOV,,$8.1B
Church & Dwight,Household & Personal Products,$20.25 B,"5,100",USA,,,,Matthew T. Farrell,1846,,$83.07,,CHD,,$5.2B
Citizens Financial Group,Banking,$20.53 B,"17,463",USA,,,,Bruce Winfield van,1828,,$41.70,,CFG,,$6.9B
Waters Corporation,Diagnostics & Research,$20.63 B,"7,800",USA,"Milford, MA, United States",,Healthcare,Dr. Udit Batra Ph.D.,1958,,$347.37,,WAT,,"US$2,309 million (2017)"
Tesco,Retail and Wholesale,$20.69 B,"345,000",UK,,,,Ken Murphy,1919,,$2.68,,TSCDF,,$84.2B
Standard Chartered,Banking,$21.09 B,"81,957",UK,,,,William Thomas Winters,1969,,$7.29,,STAN.L,,$18.9B
Nu Holdings,IT Software & Services,$20.89 B,"6,075",Brazil,,,,David Vélez Osorno,2016,,$4.46,,NU,,$1.4B
Hologic,Health Care Equipment & Services,$18.80 B,"6,705",USA,,,,Stephen P. MacMillan,1985,,$76.50,,HOLX,,$5.5B
Marathon Oil,Oil & Gas Operations,$18.88 B,"1,531",USA,,,,Lee M. Tillman,1887,,$29.74,,MRO,,$5.6B
Chewy,Retail and Wholesale,$18.98 B,"20,000",USA,,,,Sumit Singh,2011,,$44.92,,CHWY,,$8.9B
Northern Trust,Banking,$19.10 B,"21,100",USA,,,,Michael G. O'Grady,1889,,$91.66,,NTRS,,$6.6B
Steel Dynamics,"Engineering, Manufacturing",$19.23 B,10.640,USA,,,,Mark D. Millet,1993,,$109.55,,STLD,,$22.74 B
Royalty Pharma,Drugs & Biotechnology,$19.41 B,66,UK,,,,Pablo Gerardo Legorreta,2020,,$43.85,,RPRX,,$2.3B
Best Buy,Retail and Wholesale,$19.49 B,"105,000",USA,,,,Corie Barry,1966,,$86.60,,BBY,,$51.8B
Molina Healthcare,Drugs & Biotechnology,$19.51 B,"14,000",USA,,,,Joseph M. Zubretsky,1980,,$334.17,,MOH,,$27.8B
Darden Restaurants,"Hotels, Restaurants & Leisure",$17.80 B,"156,883",USA,,,,Gene Lee,1968,,$145.48,,DRI,,$9.3B
Monolithic Power Systems,,$17.98 B,2.773,USA,,,,,,,$383.21,,MPWR,,$1.67 B
Markel,Banking and Financial Services,$18.07 B,"20,300",USA,,,,Richard R. Whitt III Thomas S. Gayner,1930,,"$1,344",,MKL,,$12.8B
Conagra Brands,"Food, Drink & Tobacco",$18.26 B,"18,600",USA,,,,Sean M. Connolly,1919,,$38.12,,CAG,,$11.4B
Sun Communities,Business Services & Supplies,$18.45 B,"45,000",USA,,,,Gary A. Shiffman,1975,,$146.08,,SUI,,$2.3B
Incyte,Drugs & Biotechnology,$18.49 B,"2,094",USA,,,,Herve Hoppenot,1991,,$83.13,,INCY,,$3B
Ventas,Diversified Financials,$18.48 B,434,USA,,,,Debra A. Cafaro,1983,,$46.24,,VTR,,$3.8B
Clorox,Packaged Goods,$18.59 B,"6,390",USA,,,,Linda Rendle,1913,,$150.68,,CLX,,$7.1B
Zscaler,Business Services & Supplies,$18.60 B,4.975,USA,,,,Jagtar Singh Chaudhry,2007,,$128.99,,ZS,,$1.09 B
Rocket Companies,Business Services & Supplies,$16.71 B,Not found,USA,,,,Jay Farner,1985,,$8.41,,RKT,,$10B
The Mosaic Company,Agricultural Inputs,$16.78 B,"13,000",USA,"Tampa, FL, United States",,Basic Materials,James Calvin O'Rourke,2004,,$49.31,,MOS,,$12.4B
Rentokil Initial,,$16.84 B,46.0,UK,,,,,,,$6.68,,RTO.L,,$3.99 B
Pinterest,,$16.86 B,3.728,USA,,,,,,,$24.86,,PINS,,$2.77 B
Brown & Brown,Insurance,$16.85 B,"12,023",USA,,,,J. Powell Brown,1939,,$59.52,,BRO,,$3.1B
Unity Software,IT Software & Services,$16.91 B,5.245,USA,,,,John Salvatore Riccitiello,2004,,$40.94,,U,,$1.25 B
Snap,IT Software & Services,$16.93 B,5.661,USA,,,,Evan Thomas Spiegel,2010,,$10.50,,SNAP,,$4.59 B
Targa Resources,Oil & Gas Operations,$17.02 B,"2,430",USA,,,,Matthew J. Meloy,2005,,$75.19,,TRGP,,$17.4B
Lucid Motors,Automotive,$17.05 B,"3,900",USA,,,,Peter Rawlinson,2018,,$10.15,,LCID,,$27M
Quest Diagnostics,Health Care Equipment & Services,$17.13 B,"49,000",USA,,,,Steve Rusckowski,1967,,$150.46,,DGX,,$10.7B
Fox Corporation,Broadcasting,$17.16 B,"9,000",USA,"New York, NY, United States",,Communication Services,Mr. Lachlan Keith Murdoch,"January 1, 2019",,$30.61,,FOX,,US$12.3 billion (2020)
Antofagasta,Materials,$17.38 B,"27,000",UK,,,,Iván Arriagada Herrera,1888,,$17.64,,ANTO.L,,$7.5B
Cincinnati Financial,Insurance,$17.35 B,"5,166",USA,,,,Steven J. Johnston,1950,,$110.41,,CINF,,$9.6B
Ball Corporation,Packaging & Containers,$17.51 B,24.300,USA,"Westminster, CA, United States",,Consumer Discretionary,Mr. John A. Hayes,1880,,$55.81,,BALL,,$15.47 B
Atmos Energy,Oil & Gas Operations,$15.93 B,"4,684",USA,,,,Kevin Akers,1906,,$113.00,,ATO,,$3.5B
Essex Property Trust,Diversified Financials,$14.65 B,1.739,USA,,,,Michael J. Schall,1971,,$218.61,,ESS,,$1.56 B
International Paper,Materials,$13.08 B,"31,000",USA,,,,Mark S. Sutton,1898,,$36.80,,IP,,$21.8B
Graco,,$11.61 B,3.8,USA,,,,,,,$68.93,,GGG,,$2.12 B
American Financial Group,Insurance,$11.64 B,"6,600",USA,,,,"Carl Henry Lindner, III, S. Craig Lindner, Jr.",1959,,$136.74,,AFG,,$6.2B
Stanley Black & Decker,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",$11.87 B,"71,300",USA,,,,James M. Loree,1843,,$80.27,,SWK,,$16.8B
Ovintiv,Oil & Gas Operations,$12.09 B,"1,713",USA,,,,Brendan M. McCracken,1881,,$48.73,,OVV,,$10.5B
Match Group,IT Software & Services,$12.16 B,"2,540",USA,,,,Sharmistha Dubey,2009,,$43.55,,MTCH,,$3B
Avantor,Chemicals,$15.52 B,"13,500",USA,,,,Michael Stubblefield,1904,,$23.02,,AVTR,,$7.4B
Freddie Mac,Business Services & Supplies,$10.06 B,"7,318",USA,,,,Michael J. DeVito,1970,,$3.12,,FMCCT,,$62.2B
News Corp,Media,$11.16 B,"24,000",USA,,,,Robert James Thomson,1922,,$19.64,,NWS,,$10B
Boston Properties,Diversified Financials,$11.16 B,743,USA,,,,Owen D. Thomas,1970,,$71.20,,BXP,,$2.9B
Dick's Sporting Goods,Retail and Wholesale,$10.26 B,"50,800",USA,,,,Lauren R. Hobart,1948,,$123.05,,DKS,,$12.3B
Bath & Body Works,Retailing,$10.28 B,"56,900",USA,,,,Andrew Meslow,1990,,$45.01,,BBWI,,$11.1B
Comerica,Banking,$9.05 B,7.432,USA,,,,Curtis C. Farmer,1849,,$69.13,,CMA,,$3.26 B
Churchill Downs,,$9.09 B,3.8,USA,,,,,,,$243.12,,CHDN,,$1.69 B
Owens Corning,Construction,$8.35 B,"20,000",USA,,,,Brian D. Chambers,1938,,$88.41,,OC,,$8.5B
St. James's Place,Insurance,$8.36 B,"2,014",UK,,,,Andrew Martin Croft,Not found,,$15.09,,STJ.L,,$24.4B
Penske Automotive,Retail and Wholesale,$8.39 B,"26,891",USA,,,,Roger S. Penske Sr.,1992,,$117.69,,PAG,,$25.6B
Voya Financial,Insurance,$6.60 B,6.000,USA,,,,Rodney Owen Martin Jr.,1999,,$67.96,,VOYA,,$6.05 B
Macy's,Retailing,$6.17 B,"88,857",USA,,,,Jeffrey Gennette,1929,,$22.76,,M,,$25.3B
Toll Brothers,Construction,$6.18 B,"5,100",USA,,,,Douglas C. Yearley,1986,,$55.86,,TOL,,$9B
Thor Industries,Consumer Durables,$4.71 B,"31,000",USA,,,,Robert W. Martin,1980,,$88.05,,THO,,$14.9B
Atkore,,$4.73 B,3.4,USA,,,,,,,$118.88,,ATKR,,$3.91 B
Hawaiian Electric Industries,,$4.48 B,3.597,USA,,,,,,,$40.99,,HE,,$3.49 B
Hancock Whitney,,$4.14 B,3.607,USA,,,,,,,$48.18,,HWC,,$1.32 B
Affirm,,$4.14 B,2.552,USA,,,,,,,$14.30,,AFRM,,$1.44 B
Altair Engineering,,$4.16 B,3.05,USA,,,,,,,$51.93,,ALTR,,$0.55 B
Jackson Financial,Diversified Financials,$3.38 B,"3,500",USA,,,,Laura L. Prieskorn,Not found,,$40.72,,JXN,,$8.8B
Armstrong World Industries,,$3.39 B,2.96,USA,,,,,,,$74.25,,AWI,,$1.21 B
Mr. Cooper Group,Insurance,$3.16 B,"8,200",USA,,,,Jesse K. Bray,1994,,$44.86,,COOP,,$2.9B
Mercury Systems,,$2.80 B,2.386,USA,,,,,,,$48.46,,MRCY,,$0.99 B
Dorman Products,,$2.81 B,3.36,USA,,,,,,,$89.56,,DORM,,$1.63 B
Sprinklr,,$2.29 B,3.245,USA,,,,,,,$8.79,,CXM,,$0.58 B
Quilter,Diversified Financials,$1.71 B,"4,343",UK,,,,Paul W. Feeney,2007,,$1.19,,QLT.L,,$6.4B
Montrose Environmental,,$1.56 B,2.8,USA,,,,,,,$52.79,,MEG,,$0.54 B
Mirion Technologies,,$1.57 B,2.8,USA,,,,,,,$7.59,,MIR,,$0.66 B
Malibu Boats,,$1.17 B,3.015,USA,,,,,,,$57.55,,MBUU,,$1.26 B
Select Energy Services,,$0.98 B,3.0,USA,,,,,,,$8.61,,WTTR,,$1.26 B
Verano Holdings,,$0.99 B,3.888,USA,,,,,,,$3.06,,VRNOF,,$0.81 B
Grid Dynamics,,$0.90 B,3.763,USA,,,,,,,$12.29,,GDYN,,$0.29 B
Hibbett Sports,,$0.83 B,3.6,USA,,,,,,,$65.96,,HIBB,,$1.63 B
Protolabs,,$0.77 B,2.663,USA,,,,,,,$28.43,,PRLB,,$0.49 B
Denny's,,$0.70 B,3.3,USA,,,,,,,$12.30,,DENN,,$0.44 B
Vishay Precision Group,,$0.57 B,2.6,USA,,,,,,,$42.66,,VPG,,$0.35 B
Marcus Corporation,,$0.47 B,2.925,USA,,,,,,,$15.00,,MCS,,$0.68 B
Preformed Line Products,,$0.42 B,2.927,USA,,,,,,,$85.65,,PLPC,,$0.59 B
Gravity Co.,,$0.34 B,335.0,South Korea,,,,,,,$49.06,,GRVY,,$0.30 B
Lands' End,,$0.26 B,3.0,USA,,,,,,,$7.93,,LE,,$1.58 B
Homepoint,,$0.23 B,3.2,USA,,,,,,,$1.71,,HMPT,,$0.35 B
Audacy,,$41.23 M,3.586,USA,,,,,,,$0.28,,AUD,,$1.25 B
Castellum,Construction,$47.77 M,427,USA,,,,Hans Jarl Rutger Arnhult,Not found,,$1.15,,CAST.ST,,$738M
Horizon Global,,$47.97 M,3.8,USA,,,,,,,$1.73,,HZN,,$0.67 B
Express,,$68.99 M,3.0,USA,,,,,,,$1.01,,EXPR,,$1.94 B
Gaia,Food & Beverage,$74.94 M,150.0,USA,,,,,2013,,$3.60,,GAIA,,$83.28 M
Ayr Wellness,,$90.05 M,2.375,USA,,,,,,,$1.28,,AYRWF,,$0.45 B
Barnes & Noble Education,,$96.78 M,3.0,USA,,,,,,,$1.84,,BNED,,$1.54 B
Harte Hanks,,$98.13 M,2.5,USA,,,,,,,$13.41,,HHS,,$0.29 B
Glatfelter,,$0.14 B,3.25,USA,,,,,,,$3.31,,GLT,,$1.45 B
Rite Aid,Retailing,$0.18 B,"50,000",USA,,,,Heyward R. Donigan,1968,,$3.32,,RAD,,$24.6B
Hill International,,$0.19 B,2.578,USA,,,,,,,$3.40,,HIL,,$0.40 B
Atlas Technical Consultants,,$0.19 B,3.6,USA,,,,,,,$5.22,,ATCX,,$0.59 B
Big 5 Sporting Goods,,$0.20 B,2.4,USA,,,,,,,$9.45,,BGFV,,$1.03 B
Matrix Service,,$0.21 B,2.81,USA,,,,,,,$7.85,,MTRX,,$0.74 B
American Public Education,,$0.23 B,2.59,USA,,,,,,,$12.42,,APEI,,$0.60 B
Conn's,,$0.24 B,3.5,USA,,,,,,,$10.14,,CONN,,$1.41 B
Groupon,,$0.24 B,3.675,USA,,,,,,,$8.01,,GRPN,,$0.67 B
Columbia Care,,$0.31 B,2.586,USA,,,,,,,$0.72,,CCHWF,,$0.52 B
First Bancorp,,$0.32 B,1.179,USA,,,,,,,$28.99,,FBNC,,$0.37 B
Tredegar,,$0.39 B,2.4,USA,,,,,,,$11.59,,TG,,$0.97 B
Civeo,,$0.43 B,2.4,USA,,,,,,,$32.07,,CVEO,,$0.69 B
Biglari,,$0.45 B,2.633,USA,,,,,,,$148.48,,BH,,$0.36 B
Covenant Logistics,,$0.49 B,3.0,USA,,,,,,,$36.66,,CVLG,,$1.21 B
World Acceptance Corporation,,$0.49 B,3.121,USA,,,,,,,$79.88,,WRLD,,$0.57 B
Oppenheimer Holdings,,$0.51 B,2.866,USA,,,,,,,$47.11,,OPY,,$1.16 B
The Children's Place,,$0.52 B,3.5,USA,,,,,,,$42.80,,PLCE,,$1.76 B
Havertys,,$0.54 B,2.845,USA,,,,,,,$33.50,,HVT,,$1.03 B
Ribbon Communications,,$0.54 B,3.685,USA,,,,,,,$3.26,,RBBN,,$0.81 B
Oil States International,,$0.55 B,2.373,USA,,,,,,,$8.63,,OIS,,$0.69 B
Calavo Growers,,$0.56 B,3.676,USA,,,,,,,$31.99,,CVGW,,$1.19 B
Clearwater Paper,,$0.57 B,3.0,USA,,,,,,,$34.60,,CLW,,$2.04 B
Cresco Labs,,$0.58 B,3.5,USA,,,,,,,$1.95,,CRLBF,,$0.86 B
Bright Health,,$0.59 B,3.203,USA,,,,,,,$0.94,,BHG,,$6.00 B
Interface,,$0.61 B,3.646,USA,,,,,,,$10.56,,TILE,,$1.30 B
Ducommun,,$0.65 B,2.48,USA,,,,,,,$54.12,,DCO,,$0.68 B
Accolade,Property,$0.66 B,None,USA,,,Property,,2010,,$9.17,,ACCD,,"83,981,636"
Valhi,,$0.68 B,2.847,USA,,,,,,,$24.18,,VHI,,$2.50 B
Thryv,,$0.72 B,2.604,USA,,,,,,,$21.00,,THRY,,$1.16 B
Boohoo Group,Retail,$0.79 B,1562,UK,,,,,2006,,$0.56,,BOO.L,,680.3
Qurate Retail Group,Retailing,$0.79 B,"26,659",USA,,,,David Rawlinson,2018,,$2.01,,QRTEA,,$14B
Quanex Building Products,,$0.80 B,3.86,USA,,,,,,,$24.17,,NX,,$1.22 B
Shinpoong Pharm,,$0.82 B,815.0,South Korea,,,,,,,$16.69,,019170.KS,,$0.15 B
Bristow Group,,$0.82 B,2.916,USA,,,,,,,$29.45,,VTOL,,$1.19 B
Mission Produce,,$0.84 B,2.8,USA,,,,,,,$11.99,,AVO,,$1.04 B
